localite;denomination;type_code
ABBE-BROUKOI;CENTRE DE SANTE URBAIN ABBE-BROUKOI;CSU
ABENGOUROU;CENTRE ANTITUBERCULEUX D'ABENGOUROU;CAT
ABENGOUROU;CENTRE DE SANTE DE LA POLICE NATIONALE D'ABENGOUROU;MIL
ABENGOUROU;CENTRE DE SANTE DES ARMEES ABENGOUROU;MIL
ABENGOUROU;CENTRE HOSPITALIER REGIONAL D'ABENGOUROU;CHR
ABENGOUROU;CREMOSS ABENGOUROU;CMS
ABENGOUROU;DISPENSAIRE URBAIN D'ABENGOUROU;DISP
ABENGOUROU;DISPENSAIRE URBAIN DE DIOULAKRO;DISP
ABENGOUROU;PMI D'ABENGOUROU;PMI
ABIATY;CENTRE DE SANTE RURAL D'ABIATY;CSR
ABIGUI;CENTRE DE SANTE URBAIN D'ABIGUI;CSU
ABOBO;CENTRE ANTITUBERCULEUX D'ABOBO-SOGEFIHA;CAT
ABOBO;CENTRE DE SANTE DES ARMEES 1er BATAILLON PROJETABLE;MIL
ABOBO;CENTRE DE SANTE DES ARMEES DE L'ESCADRON 3/1 D'ABOBO;MIL
ABOBO;CENTRE DE SANTE POLICE NATIONALE DE ABOBO GARE;MIL
ABOBO;CENTRE DE SANTE URBAIN A BASE COMMUNAUTAIRE ABOBO AGOUETO PK18 CARREFOUR;CSU
ABOBO;CENTRE DE SANTE URBAIN A BASE COMMUNAUTAIRE ABOBO BANCO SUD;CSU
ABOBO;CENTRE DE SANTE URBAIN A BASE COMMUNAUTAIRE ABOBO BC;CSU
ABOBO;CENTRE DE SANTE URBAIN A BASE COMMUNAUTAIRE ABOBO BOCABO;CSU
ABOBO;CENTRE DE SANTE URBAIN A BASE COMMUNAUTAIRE ABOBO KENNEDY CLOUETCHA;CSU
ABOBO;CENTRE DE SANTE URBAIN A BASE COMMUNAUTAIRE DE ABOBO ASSOMIN PK18;CSU
ABOBO;CENTRE DE SANTE URBAIN A BASE COMMUNAUTAIRE DE ABOBOTE;CSU
ABOBO;CENTRE DE SANTE URBAIN ANONKOUA III (ASAPSU);CSU
ABOBO;CENTRE DE SANTE URBAIN DE LA DJIBI;CSU
ABOBO;CENTRE DE SANTE URBAIN PRIVE CONFESSIONNEL HINNEH ABOBO PK18;CSU
ABOBO;CENTRE HOSPITALIER REGIONAL HOUPHOUET BOIGNY DE ABOBO NORD;CHR
ABOBO;CENTRE MEDICO SOCIAL ANADER;CMS
ABOBO;CENTRE MEDICO SOCIAL SAINT COEUR D'ABOBOTE CLOUETCHA;CMS
ABOBO;CENTRE MEDICO SOCIAL SOS VILLAGE D'ENFANTS ABOBO;CMS
ABOBO;CREMOSS ABOBO (Centre médical personnel Education nationale);CMS
ABOBO;FORMATION SANITAIRE URBAINE A BASE COMMUNAUTAIRE ABOBO ANONKOUA KOUTE;FSU
ABOBO;FORMATION SANITAIRE URBAINE A BASE COMMUNAUTAIRE ABOBO AVOCATIER;FSU
ABOBO;FORMATION SANITAIRE URBAINE A BASE COMMUNAUTAIRE ABOBO BAOULE;FSU
ABOBO;FORMATION SANITAIRE URBAINE A BASE COMMUNAUTAIRE DE ABOBO AKEIKOI;FSU
ABOBO;FORMATION SANITAIRE URBAINE A BASE COMMUNAUTAIRE DE ABOBO SAGBE;FSU
ABOBO;SERVICE DE SANTE SCOLAIRE ET UNIVERSITAIRE SERVICE ADOLESCENT JEUNES ABOBO 1;SSSU
ABOBO;SERVICE DE SANTE SCOLAIRE ET UNIVERSITAIRE SERVICE ADOLESCENT JEUNES ABOBO 2;SSSU
ABOBO;SERVICE DE SANTE SCOLAIRE ET UNIVERSITAIRE SERVICE ADOLESCENT JEUNES ABOBO PK18;SSSU
ABOISSO;CENTRE DE SANTE DES ARMEES DE GENDARMERIE D'ABOISSO;MIL
ABOISSO;CENTRE HOSPITALIER REGIONAL D'ABOISSO;CHR
ABOISSO;DISPENSAIRE URBAIN ABOISSO;DISP
ABOISSO;PMI D'ABOISSO;PMI
ABOISSO;SERVICE DE SANTE SCOLAIRE ET UNIVERSITAIRE SERVICE ADOLESCENT JEUNES ABOISSO;SSSU
ABOKOUMAN;CENTRE DE SANTE RURAL / DISPENSAIRE PUBLIC ABOKOUMAN;CSR
ABONGOUA;CENTRE DE SANTE URBAIN D'ABONGOUA;CSU
ABOUABOU;CENTRE DE SANTE RURAL D'ABOUABOU;CSR
ABOUDE;CENTRE DE SANTE URBAIN D'ABOUDE;CSU
ABRADINOU;CENTRE DE SANTE URBAIN D'ABRADINOU;CSU
ABY;CENTRE DE SANTE URBAIN ABY;CSU
ADANDIA;CENTRE DE SANTE RURAL D'ADANDIA;CSR
ADAOU;CENTRE DE SANTE URBAIN D'ADAOU;CSU
ADAROME;CENTRE DE SANTE RURAL D'ADAROME;CSR
ADIAKE;CSA FORCES SPECIALES ADIAKE;MIL
ADIAKE;HÔPITAL GENERAL D'ADIAKE;HG
ADIOPODOUME;CENTRE DE SANTE RURAL D'ADIOPODOUME;CSR
ADJAHUI COUBE;CENTRE DE SANTE RURAL D'ADJAHUI COUBE;CSR
ADJAME;CENTRE DE SANTE DES ARMEES GSPM ADJAME-INDENIE;MIL
ADJAME;CENTRE DE SANTE URBAIN A BASE COMMUNAUTAIRE DE WILLIAMSVILLE;CSU
ADJAME;CENTRE MEDICAL DES CRS1;CMS
ADJAME;CENTRE MEDICAL ENTREPRISE FRATERNITE MATIN;CMS
ADJAME;CREMOSS ADJAME;CMS
ADJAME;FORMATION SANITAIRE URBAINE 220 LOGEMENTS;FSU
ADJAME;FORMATION SANITAIRE URBAINE A BASE DE WILLIAMSVILLE;FSU
ADJAME;HÔPITAL GENERAL D'ADJAME;HG
ADJAME;HÔPITAL MILITAIRE D'ABIDJAN;MIL
ADJAME;INSTITUT NATIONAL DE SANTE PUBLIQUE D'ADJAME;INST
ADJAME;SERVICE DE SANTE SCOLAIRE ET UNIVERSITAIRE SERVICE ADOLESCENT JEUNES ADJAME EST;SSSU
ADJAME;SERVICE DE SANTE SCOLAIRE ET UNIVERSITAIRE SERVICE ADOLESCENT JEUNES ADJAME NORD;SSSU
ADJAME;SERVICE DE SANTE SCOLAIRE ET UNIVERSITAIRE SERVICE ADOLESCENT JEUNES DE ADJAME CENTRE;SSSU
ADJAME;SSSU-SAJ DU CROU DE L'UNIVERSITE NANGUI ABROGOUA;SSSU
ADONKOI 2;DISPENSAIRE RURAL D'ADONKOI 2;DISP
ADOUKOFFIKRO;CENTRE DE SANTE RURAL D'ADOUKOFFIKRO;CSR
ADZOPE;CENTRE ANTITUBERCULEUX D'ADZOPE;CAT
ADZOPE;CENTRE DE SANTE URBAIN ANNEPE;CSU
ADZOPE;CENTRE HOSPITALIER REGIONAL D'ADZOPE;CHR
ADZOPE;INSTITUT RAOUL FOLLEREAU D'ADZOPE;INST
ADZOPE;PMI D'ADZOPE;PMI
ADZOPE;SERVICE DE SANTE SCOLAIRE ET UNIVERSITAIRE SERVICE ADOLESCENT JEUNES D'ADZOPE;SSSU
AFFALIKRO;CENTRE DE SANTE URBAIN D'AFFALIKRO;CSU
AFFERY;FORMATION SANITAIRE URBAINE D'AFFERY;FSU
AFFIENOU;CENTRE DE SANTE URBAIN AFFIENOU;CSU
AFFIKRO;CENTRE DE SANTE RURAL D'AFFIKRO;CSR
AGBAOU;DISPENSAIRE RURAL D'AGBAOU;DISP
AGBOVILLE;CENTRE DE SANTE URBAIN D'AZAGUIE;CSU
AGBOVILLE;CENTRE DE SANTE URBAIN DE CECHI;CSU
AGBOVILLE;CENTRE DE SANTE URBAIN DE GRAND MORIE;CSU
AGBOVILLE;CENTRE DE SANTE URBAIN DE KOUAKOUKRO-SOKOURA;CSU
AGBOVILLE;CENTRE DE SANTE URBAIN DE RUBINO;CSU
AGBOVILLE;CENTRE HOSPITALIER REGIONAL D'AGBOVILLE;CHR
AGBOVILLE;CREMOSS AGBOVILLE;CMS
AGBOVILLE;PMI D'AGBOVILLE;PMI
AGBOVILLE;SERVICE DE SANTE SCOLAIRE ET UNIVERSITAIRE-SERVICE ADOLESCENT JEUNES DE AGBOVILLE;SSSU
AGNI ASSIKASSO;DISPENSAIRE RURAL D'AGNI ASSIKASSO;DISP
AGNIBILEKROU;HÔPITAL GENERAL D'AGNIBILEKROU;HG
AGNIBILEKROU;PMI D'AGNIBILEKROU;PMI
AGNIBILEKROU;SERVICE DE SANTE SCOLAIRE ET UNIVERSITAIRE-SERVICE ADOLESCENT JEUNES D'AGNIBILEKROU;SSSU
AGNIKRO;CENTRE DE SANTE URBAIN D'AGNIKRO;CSU
AGOU;CENTRE DE SANTE URBAIN D'AGOU;CSU
AHEREMOU II;CENTRE DE SANTE RURAL D'AHEREMOU II;CSR
AHIGBE KOFFIKRO;CENTRE DE SANTE RURAL D'AHIGBE KOFFIKRO;CSR
AHIZABRE;CENTRE DE SANTE RURAL AHIZABRE;CSR
AHONDO;CENTRE DE SANTE RURAL D'AHONDO;CSR
AHOUABO;CENTRE DE SANTE RURAL D'AHOUABO;CSR
AHOUAKRO;CENTRE DE SANTE RURAL AHOUAKRO;CSR
AHOUANOU;CENTRE DE SANTE URBAIN D'AHOUANOUA;CSU
AHOUATY;DISPENSAIRE RURAL D'AHOUATY;DISP
AHOUE;CENTRE DE SANTÉ RURAL D'AHOUE;CSR
AHOUGNASSOU-ALLAHOU;CENTRE DE SANTE RURAL-DM AHOUGNASSOU ALLAHOU;CSR
AHUIKOI;DISPENSAIRE RURAL D'AHUIKOI;DISP
AHUITIESSO;CENTRE DE SANTE RURAL D'AHUITIESSO;CSR
AKAKRO;CENTRE DE SANTE RURAL D'AKAKRO;CSR
AKAKRO N'ZIPRIS;DISPENSAIRE RURAL DE AKAKRO N'ZIPRIS;DISP
AKANANGBO;DISPENSAIRE RURAL D'AKANANGBO;DISP
AKOBOISSUE;CENTRE DE SANTE URBAIN D'AKOBOISSUE;CSU
AKOUE;DISPENSAIRE RURAL DE MAHOUNOU AKOUE;DISP
AKOUNOUGBE;CENTRE DE SANTE RURAL D'AKOUNOUGBE;CSR
AKOUPE;HÔPITAL GENERAL D'AKOUPE;HG
AKOUPE-ANYAMA (ZEUDJI);CENTRE DE SANTE URBAIN D'AKOUPE ANYAMA;CSU
AKPASSANOU;CENTRE DE SANTE RURAL D'AKPASSANOU;CSR
AKPESSEKRO;CENTRE DE SANTE RURAL DE AKPESSEKRO;CSR
AKROUFLA;CENTRE DE SANTE RURAL D'AKROUFLA;CSR
ALEPE;CENTRE D'EDUCATION SANITAIRE DES SOEURS DOROTHEE D'ALEPE (CESDA);AUT
ALEPE;CENTRE DE SANTE URBAIN D'ALLOSSO;CSU
ALEPE;CENTRE DE SANTE URBAIN D'OGHLWAPO;CSU
ALEPE;CENTRE DE SANTE URBAIN DE DANGUIRA;CSU
ALEPE;HÔPITAL GENERAL D'ALEPE;HG
ALLOKOI;CENTRE DE SANTE URBAIN D'ALLOKOI;CSU
AMAN SALEKRO;DISPENSAIRE RURAL DE AMAN SALEKRO;DISP
AMANKRO;CENTRE DE SANTE RURAL D'AMANKRO;CSR
AMANVI;CENTRE DE SANTE URBAIN D'AMANVI;CSU
AMELEKIA;CENTRE DE SANTE URBAIN AMELEKIA;CSU
AMIAN KOUASSIKRO;CENTRE DE SANTE RURAL DE AMIAN KOUASSIKRO;CSR
AMORIAKRO;CENTRE DE SANTE RURAL D'AMORIAKRO;CSR
AMOROKI;CENTRE DE SANTE RURAL / DISPENSAIRE AMOROKI;CSR
ANANDA;CENTRE DE SANTE URBAIN D'ANANDA;CSU
ANANGUIE;CENTRE DE SANTE RURAL D'ANANGUIE;CSR
ANANGUIE;CENTRE DE SANTE URBAIN ANANGUIE;CSU
ANCIEN PROZI;CENTRE DE SANTE RURAL ANCIEN PROZI;CSR
ANDE;CENTRE DE SANTE RURAL ANDE;CSR
ANDE;CENTRE DE SANTE URBAIN D'ANDE;CSU
ANDO-KEKRENOU;CENTRE DE SANTE URBAIN D'ANDO-KEKRENOU;CSU
ANDOFOUE BONON;DISPENSAIRE RURAL D'ANDOFOUE BONON;DISP
ANGONDA;CENTRE DE SANTE URBAIN D'ANGODA;CSU
ANGUEDEDOU;CENTRE MEDICAL DE LA CNRA-ANGUEDEDOU (YOPOUGON OUEST);CMS
ANIASSUE;CENTRE DE SANTE URBAIN D'ANIASSUE;CSU
ANNO;CENTRE DE SANTE RURAL ANNO;CSR
ANOUMABA;CENTRE DE SANTE URBAIN D'ANOUMABA;CSU
ANYAMA;CENTRE DE SANTE URBAIN CISSE ANYAMA;CSU
ANYAMA;CENTRE DE SANTE URBAIN DE ANYAMA;CSU
ANYAMA;CENTRE DE SANTE URBAIN DE BROFODOUME;CSU
ANYAMA;CENTRE MEDICAL DE LA CNRA DE LA ME;CMS
ANYAMA;HÔPITAL GENERAL D'ANYAMA;HG
ANYAMA;SERVICE DE SANTE SCOLAIRE ET UNIVERSITAIRE SERVICE ADOLESCENT JEUNES ANYAMA;SSSU
ANYAMA-ADJAME;CENTRE DE SANTE RURAL D'ANYAMA-ADJAME;CSR
ANYANOU;CENTRE DE SANTE RURAL D'ANYANOU;CSR
APPIMANDOUM;CENTRE DE SANTE RURAL D'APPIMANDOUM;CSR
APPOISSO;CENTRE DE SANTE URBAIN APPOISSO;CSU
APPOUASSO;CENTRE DE SANTE RURAL D'APPOUASSO;CSR
APPROMPRONOU;CENTRE DE SANTE URBAIN D'APPROMPRONOU;CSU
ARRAH;DISPENSAIRE URBAIN SAINT MICHEL D'ARRAH;DISP
ARRAH;HÔPITAL GENERAL D'ARRAH;HG
ARROSSUA;DISPENSAIRE RURAL D'ARROSSUA;DISP
ASSAHARA;CENTRE DE SANTE URBAIN D'ASSAHARA;CSU
ASSANDRE;CENTRE DE SANTE RURAL D'ASSANDRE;CSR
ASSANOU;CENTRE DE SANTE RURAL D'ASSANOU;CSR
ASSE N'GATTAKRO;CENTRE DE SANTE RURAL DE ASSE N'GATTAKRO;CSR
ASSIE KOUMASSI;CENTRE DE SANTE URBAIN D'ASSIE KOUMASSI;CSU
ASSIKA KAYABO;CENTRE DE SANTE RURAL DE ASSIKA-KAYABO;CSR
ASSIKOI;CENTRE DE SANTE RURAL ASSIKOI;CSR
ASSINIE FRANCE;CENTRE DE SANTE RURAL D'ASSINIE FRANCE;CSR
ASSINIE MAFIA;CENTRE DE SANTE URBAIN D'ASSINIE MAFIA;CSU
ASSIRIKRO;CENTRE DE SANTE URBAIN D'ASSIRIKRO;CSU
ASSOMLAN;CENTRE DE SANTE RURAL D'ASSOMLAN;CSR
ASSOUBA;CENTRE DE SANTE RURAL D'ASSOUBA;CSR
ASSOUINDE;CENTRE DE SANTE RURAL D'ASSOUINDE;CSR
ASSUAME;CENTRE DE SANTE RURAL D'ASSUAME;CSR
ASSUEFRY;CENTRE DE SANTE URBAIN D'ASSUEFRY;CSU
