localite;latitude;longitude;trouve
ABBE-BROUKOI;5.4470381;-4.0627018;oui
ABENGOUROU;6.7269042;-3.4968431;oui
ABIATY;5.2898360;-3.1706880;oui
ABIGUI;6.6946200;-4.8337910;oui
ABOBO;5.4263155;-4.0202247;oui
ABOISSO;5.7126260;-3.2076104;oui
ABOKOUMAN;;;non
ABONGOUA;6.2470860;-3.5433470;oui
ABOUABOU;5.2939640;-3.9077160;oui
ABOUDE;5.8980070;-4.5615469;oui
ABRADINOU;6.1873110;-3.4549260;oui
ABY;5.3050220;-3.1691600;oui
ADANDIA;7.7592870;-3.0092568;oui
ADAOU;5.4281990;-3.2640400;oui
ADAROME;5.5804330;-4.1904880;oui
ADIAKE;5.2318902;-3.2582479;oui
ADIOPODOUME;5.3414445;-4.1332269;oui
ADJAHUI COUBE;;;non
ADJAME;5.3531211;-4.0222008;oui
ADONKOI 2;5.4081000;-4.2226340;oui
ADOUKOFFIKRO;6.6980761;-3.4617384;oui
ADZOPE;6.1058336;-3.8640409;oui
AFFALIKRO;6.6454783;-3.3838098;oui
AFFERY;6.3203753;-3.9523616;oui
AFFIENOU;5.4111850;-2.9247850;oui
AFFIKRO;6.1316796;-4.7395492;oui
AGBAOU;6.0801943;-5.2171573;oui
AGBOVILLE;5.9307328;-4.2131327;oui
AGNI ASSIKASSO;7.1095890;-4.0657120;oui
AGNIBILEKROU;7.0648415;-3.3287147;oui
AGNIKRO;5.7169847;-4.8833371;oui
AGOU;5.9828880;-3.9439330;oui
AHEREMOU II;6.2551520;-4.9301890;oui
AHIGBE KOFFIKRO;5.4075500;-3.3802330;oui
AHIZABRE;6.0494779;-6.1005947;oui
AHONDO;6.3071088;-5.1510430;oui
AHOUABO;6.2395840;-3.7921800;oui
AHOUAKRO;6.1295877;-4.8926053;oui
AHOUANOU;5.5056520;-4.8587960;oui
AHOUATY;6.1096000;-4.9730390;oui
AHOUE;5.4977650;-3.9457821;oui
AHOUGNASSOU-ALLAHOU;7.1621932;-5.0499870;oui
AHUIKOI;6.1662623;-3.7193227;oui
AHUITIESSO;7.5548660;-2.9913430;oui
AKAKRO;7.8270858;-5.0170612;oui
AKAKRO N'ZIPRIS;;;non
AKANANGBO;7.5484672;-3.8872984;oui
AKOBOISSUE;6.9634800;-3.2324040;oui
AKOUE;6.9536962;-5.3793438;oui
AKOUNOUGBE;5.1827820;-3.1783600;oui
AKOUPE;6.3815237;-3.8859041;oui
AKOUPE-ANYAMA (ZEUDJI);;;non
AKPASSANOU;7.3538510;-4.4507380;oui
AKPESSEKRO;6.7355839;-5.3036797;oui
AKROUFLA;6.3396510;-5.4912320;oui
ALEPE;5.4966091;-3.6638901;oui
ALLOKOI;5.3973830;-4.1488400;oui
AMAN SALEKRO;7.2524772;-5.5791473;oui
AMANKRO;7.4162401;-3.9943028;oui
AMANVI;7.9683450;-3.1364710;oui
AMELEKIA;6.8761047;-3.6462146;oui
AMIAN KOUASSIKRO;6.4664215;-3.6405824;oui
AMORIAKRO;7.0994080;-3.5282140;oui
AMOROKI;7.0879340;-4.1615510;oui
ANANDA;7.2839672;-4.2554491;oui
ANANGUIE;6.0779009;-4.4711723;oui
ANCIEN PROZI;7.6715987;-6.9685449;oui
ANDE;5.3922625;-3.9762287;oui
ANDO-KEKRENOU;7.5035029;-5.5733362;oui
ANDOFOUE BONON;;;non
ANGONDA;6.6770860;-5.0226804;oui
ANGUEDEDOU;5.4041220;-4.2030720;oui
ANIASSUE;6.6554231;-3.6818563;oui
