dci;libelle;prix_fcfa;liste
ATORVASTATINE;ATORVACOR 10 MG COMPRIME, BOÎTE DE 30;4132.59;diabete
ATORVASTATINE;LESSTROL 10 MG COMPRIME PELLICULE, BOÎTE DE 30;5250.00;diabete
ATORVASTATINE;TAVASTOR 10 MG COMPRIME PELLICULE, BOÎTE DE 30;5510.02;diabete
ATORVASTATINE;VASTATOR 10 MG COMPRIME PELLICULE, BOÎTE DE 30;5250.00;diabete
ATORVASTATINE;ATORVACOR 20 MG COMPRIME, BOÎTE DE 30;4821.29;diabete
ATORVASTATINE;LESSTROL 20 MG COMPRIME PELLICULE, BOÎTE DE 30;5670.00;diabete
ATORVASTATINE;TAVASTOR 20 MG COMPRIME PELLICULE, BOÎTE DE 30;5939.01;diabete
ATORVASTATINE;TORA 20 MG COMPRIME, BOÎTE DE 30;2037.00;diabete
ATORVASTATINE;VASTATOR 20 MG COMPRIME PELLICULE, BOÎTE DE 30;5670.00;diabete
ATORVASTATINE;TAVASTOR 40 MG COMPRIME, BOÎTE DE 30;6380.01;diabete
ATORVASTATINE;TORA 40 MG COMPRIME, BOÎTE DE 30;2864.40;diabete
ATORVASTATINE;VASTATOR 40 MG COMPRIME PELLICULE, BOÎTE DE 30;6300.00;diabete
ATORVASTATINE;TAVASTOR 80 MG COMPRIME PELLICULE, BOîTE DE 30;10820.00;diabete
ATORVASTATINE;TORA 80 MG COMPRIME, BOÎTE DE 30;4132.80;diabete
GLIBENCLAMIDE;DAONIL 5 MG COMPRIME, BOÎTE DE 100;8334.90;diabete
GLIBENCLAMIDE+METFORMINE;GLUCOVANCE 500 MG/2,5 MG COMPRIME PELLICULE, BOÎTE DE 30;4490.66;diabete
GLIBENCLAMIDE/METFORMINE;GLUCOVANCE 1000 MG/5 MG COMPRIME PELLICULE, BOÎTE DE 30;4917.71;diabete
GLIBENCLAMIDE/METFORMINE;GLUCOVANCE 500 MG/5 MG COMPRIME PELLICULE BOÎTE DE 30;4490.66;diabete
GLICLAZIDE;GLIDE 60 MG COMPRIME, À LIBERATION MODIFIEE BOÎTE DE 30;7782.92;diabete
GLICLAZIDE;SERGLIRON 60 MG COMPRIME SECABLE A LIBERATION PROLONGEE, BOÎTE DE 30;6295.22;diabete
GLIMEPIRIDE;IRYS 1 MG COMPRIME BOÎTE DE 30;3030.30;diabete
